GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sprint1,default,Intervention,20,104,1,5,10,28,5,9,4,7
sprint1,default,Entree,13,116,1,11,5,29,2,8,1,3
sprint1,default,Sortie.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
sprint1,default,Sortie,7,115,2,12,4,30,4,9,2,4
sprint1,default,ProgrammePrincipal,51,0,2,0,18,0,3,0,2,0
