GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sprint1,default,Intervention,17,107,1,5,8,30,4,10,3,8
sprint1,default,Entree,38,127,6,14,12,34,6,8,1,3
sprint1,default,Sortie.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
sprint1,default,Sortie,7,121,2,14,4,32,4,10,2,4
sprint1,default,ProgrammePrincipal,45,74,3,5,17,24,4,3,1,2
